Name,NAICSCode,Phone,WebAddress,Address,PostalCode,BldgNo,UnitNo,Latitude,Longitude
Dunk'n Dip,722512,905-990-5522,www.dunkndip.ca,600 Burnhamthorpe Rd W,L5B 2C4,,UnitNo 4,43.58057,-79.64937
The Captain's Boil,722511,905-232-8181,www.thecaptainsboil.com,720 Burnhamthorpe Rd W,L5C 3G1,Bldg 1,UnitNo 3A,43.578511,-79.652538
Burger King,722512,905-281-0932,www.burgerking.ca,769 Burnhamthorpe Rd W,L5C 3A6,,,43.578296,-79.65305
Old Mill Pastry,722512,905-232-5246,www.oldmillpastry.com,780 Burnhamthorpe Rd W,L5C 3X3,,UnitNo 12,43.578467,-79.652588
Cooper's Pub,722511,905-275-3245,www.cooperspub.ca,780 Burnhamthorpe Rd W,L5C 3X3,,UnitNo 5,43.578467,-79.652588
Macey's Restaurant,722511,,,780 Burnhamthorpe Rd W,L5C 3X3,,UnitNo 2B,43.578467,-79.652588
Red Lobster Canada,722511,905-848-8477,www.redlobster.com,790 Burnhamthorpe Rd W,L5C 3X3,,,43.577016,-79.654252
Coco Cafa Inc.,722512,905-275-2425,,90 Burnhamthorpe Rd W,L5B 3C3,,UnitNo 204,43.59128,-79.63657
Kentucky Fried Chicken,722512,905-896-8494,,896 Burnhamthorpe Rd W,L5C 2S3,,UnitNo 5,43.57443,-79.65669
Red Spoon,722511,905-564-0333,www.redspoon.ca,1076 Cardiff Blvd,L5S 1M4,,UnitNo 2-3B,43.670151,-79.686999
Sam's Pita & Grill,722512,905-564-2136,www.sampita.ca,1380 Cardiff Blvd,L5S 1P9,,UnitNo 10,43.672011,-79.678658
Hampton Inn & Suites,721111,905-671-4730,www.torontoairportontario.hamptoninn.com,3279 Caroga Dr,L4V 1A3,,,43.688648,-79.607457
Hilton Garden Inn,721111,905-678-0041,www.torontoairport.hgi.com,3311 Caroga Dr,L4V 1A3,,,43.689538,-79.606469
Tim Horton's,722512,905-566-1139,www.timsown.com,2427 Cawthra Rd,L5A 2W7,,,43.591459,-79.595325
Rei do Churrasco,722512,905-949-5141,www.reidochurrasco.ca,2480 Cawthra Rd,L5A 2X2,,UnitNo 7,43.59214,-79.596518
Marconi Pizza,722512,905-279-0151,www.marconipizza.com,3635 Cawthra Rd,L5A 2Y5,,UnitNo 13&14,43.607119,-79.617708
Tasty Kitchen Inc.,722511,905-803-8882,,1177 Central Pky W,L5C 4P3,,UnitNo 12,43.567051,-79.66125
Lion City Restaurant,722511,905-281-0860,www.lioncityrestaurant.ca,1177 Central Pky W,L5C 4P3,,UnitNo 70,43.567051,-79.66125
Golden Moon,722512,905-273-7666,,1177 Central Pky W,L5C 4P3,,UnitNo 5,43.567051,-79.66125
Guilin Cuisine,722511,905-268-0938,,1177 Central Pky W,L5C 4P3,,UnitNo 9,43.567051,-79.66125
Red Lotus Restaurant,722511,,www.manjianghong.ca,1177 Central Pky W,L5C 4P3,,UnitNo 11,43.567051,-79.66125
Kung Fu Duck,722511,647-975-1088,,1177 Central Pky W,L5C 4P3,,UnitNo 56-57,43.567051,-79.66125
Roman Zaman,722511,905-276-0101,www.romanzaman.com,325 Central Pky W,L5B 3X9,Bldg 2,UnitNo 8,43.582462,-79.637382
Pizzaville,722512,905-306-7815,www.pizzaville.ca,325 Central Pky W,L5B 3X9,Bldg 3,UnitNo 56,43.582462,-79.637382
Pizza Pros,722512,905-712-8360,www.pizzapros.ca,223 Ceremonial Dr,L5R 2N3,,UnitNo 8,43.604986,-79.662652
Tap & Pour,722511,416-776-2658,,3 PIA,L5P 1B2,,,43.586162,-79.646215
Cultures,722512,905-232-7774,,100 City Centre Dr,L5B 2C9,,UnitNo O9,43.59333,-79.64223
Basil Box,722512,905-277-3000,,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
Subway,722512,905-232-4782,www.subway.com,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
Orange Julius/Dairy Queen,722512,905-275-7651,www.dairyqueen.com,100 City Centre Dr,L5B 2C9,,UnitNo Q10,43.59333,-79.64223
McCafe,722512,905-270-9300,,100 City Centre Dr,L5B 2C9,,UnitNo F12,43.59333,-79.64223
Second Cup,722512,905-279-0069,,100 City Centre Dr,L5B 2C9,,UnitNo E6,43.59333,-79.64223
Real Fruit Bubble Tea,722512,,www.realfruitbubbletea.com,100 City Centre Dr,L5B 2C9,,UnitNo E10,43.59333,-79.64223
Villa Madina,722512,905-276-3866,www.villamadina.com,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
Charley's Philly Steaks,722512,905-272-2123,,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
A & W,722512,647-479-8058,www.aw.ca.dhg@gmail.com,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
Taco Bell,722512,905-896-9600,,100 City Centre Dr,L5B 2C9,,UnitNo Q8,43.59333,-79.64223
Freshly Squeezed,722512,905-695-2614,www.freshlysqueezed.ca,100 City Centre Dr,L5B 2C9,,UnitNo Q11,43.59333,-79.64223
Manchu Wok,722512,905-273-3100,www.manchuwok.ca,100 City Centre Dr,L5B 2C9,,UnitNo Q9,43.59333,-79.64223
Roolys Food Company Ltd. (Jimmy the Greek),722512,905-566-1656,www.jimmythegreek.com,100 City Centre Dr,L5B 2C9,,UnitNo 1-137,43.59333,-79.64223
Szechuan Express,722512,905-232-3383,www.szechuanszechuan.com,100 City Centre Dr,L5B 2C9,,UnitNo P9,43.59333,-79.64223
Cinnabon,722512,905-281-8250,www.cinnabon.com,100 City Centre Dr,L5B 2C9,,UnitNo P9,43.59333,-79.64223
New York Fries,722512,905-273-4258,www.newyorkfries.com,100 City Centre Dr,L5B 2C9,,UnitNo P10,43.59333,-79.64223
Big Smoke Burger,722512,905-277-2447,,100 City Centre Dr,L5B 2C9,,UnitNo O10,43.59333,-79.64223
Tim Hortons,722512,905-896-4207,www.timhortons.com,100 City Centre Dr,L5B 2C9,,"UnitNo N7, P12",43.59333,-79.64223
Tim Horton's,722512,905-306-0033,www.timhortons.com,151 City Centre Dr,L5B 1M7,,UnitNo 100,43.591071,-79.640439
Failte Irish Pub,722410,905-276-2212,www.failteirishpub.ca,201 City Centre Dr,L5B 2T4,,UnitNo 109,43.589693,-79.642039
Gateway On The Go,722512,,,201 City Centre Dr,L5B 4E4,,UnitNo 106,43.589693,-79.642039
Gateway Cafe,722512,905-566-5767,,33 City Centre Dr,L5B 2N5,,UnitNo 147,43.594477,-79.639496
The Host,722511,905-566-4678,www.welcometohost.com,33 City Centre Dr,L5B 2N5,,UnitNo 101,43.594477,-79.639496
Caf,722512,905-270-2233,,55 City Centre Dr,L5B 1M3,,UnitNo Lobby,43.593634,-79.638821
Doolin's Restaurant and Pub,722511,905-822-8265,,1575 Clarkson Rd N,L5J 2X1,,UnitNo 8,43.528256,-79.638871
Papa's Place,722511,905-564-0895,,6731 Columbus Rd,L5T 2M4,,UnitNo 1A,43.665495,-79.670463
Falafel Al-Tarboosh Lebanese Restaurant,722511,905-949-0222,,3050 Confederation Pky,L5B 3Z6,,UnitNo 105,43.5778,-79.62133
Tim Horton's,722512,905-564-9994,www.timhortons.com,475 Courtneypark Dr E,L5T 2V3,,,43.647465,-79.684815
Breakfasting,722512,905-232-7888,,4040 Creditview Rd,L5C 4E3,,UnitNo 21,43.568939,-79.665376
Phoenix Chinese Restaurant,722511,905-848-8222,,4040 Creditview Rd,L5C 4E3,,UnitNo 6&7,43.568939,-79.665376
Tomo Sushi,722511,905-306-9060,www.tomosushi.ca,4040 Creditview Rd,L5C 4E3,,UnitNo 1&2,43.568939,-79.665376
Chinese Dumpling House,722511,905-270-5988,,4040 Creditview Rd,L5C 4E3,,UnitNo 9&10,43.568939,-79.665376
Chilli Chicken House,722511,905-232-1199,,4040 Creditview Rd,L5C 4E3,,UnitNo 25,43.568939,-79.665376
Tim Hortons,722512,905-858-4040,www.timhortons.com,6075 Creditview Rd,L5V 2A8,,,43.598228,-79.712893
Lazeez Shawarma,722511,905-363-1818,www.lazeezshawarma.com,6085 Creditview Rd,L5V 2A8,,UnitNo 2B,43.598695,-79.713536
Paramount Fine Foods,722512,905-282-1600,www.paramountfinefoods.com,1290 Crestlawn Dr,L4W 1A6,,,43.632034,-79.62043
Il Porcellino Italian Restaurant,722511,905-696-9755,www.ilporcellino.com,6720 Davand Dr,L5T 2K7,,UnitNo 1&2,43.66772,-79.66802
Bahar Kabob,722512,905-670-0330,www.baharkabob.com,6740 Davand Dr,L5T 2K9,,UnitNo 8,43.66873,-79.66958
Veggie Planet,722512,905-795-7950,www.veggieplanet.ca,6985 Davand Dr,L5T 1Y7,,UnitNo 1,43.672061,-79.674739
Olympia Grill,722511,905-564-7250,,1 Derry Rd E,L5T 2Z8,,,43.64714,-79.70624
Olive Tree Deli Cafe,722512,905-565-8333,www.olivetreedelicafe.com,1107 Derry Rd E,L5T 1P3,,,43.667997,-79.682255
Pho Pho Pho,722511,905-461-1717,,1135 Derry Rd E,L5T 1P3,,,43.668548,-79.68163
Subway,722512,905-678-8822,www.subway.com,2855 Derry Rd E,L4T 1A6,,UnitNo 1,43.702186,-79.644404
Chopstick Cuisine,722511,905-672-8225,,2875 Derry Rd E,L4T 1A6,Bldg 1,,43.702727,-79.643694
Standard Sweets & Snacks,722512,905-612-8381,www.standardsweets.com,2877 Derry Rd E,L4T 1A6,Bldg 1,,43.702755,-79.643656
Pizzaville,722512,905-677-1904,www.pizzaville.ca,2889 Derry Rd E,L4T 1A6,Bldg 1,,43.702938,-79.643419
China Sea Chinese Food,722512,905-678-1012,,2897 Derry Rd E,L4T 1A6,Bldg 2,,43.703014,-79.643323
Pizza Nova,722512,905-672-5867,www.pizzanova.com,3417 Derry Rd E,L4T 1A8,Bldg 1,UnitNo 1,43.712927,-79.632612
Mr. Jerk - 886380 Ontario Ltd.,722512,905-673-5627,,3417 Derry Rd E,L4T 1A8,Bldg 1,UnitNo 5,43.712927,-79.632612
Mr. Sub,722512,905-673-2533,www.mrsub.ca,3417 Derry Rd E,L4T 1A8,Bldg 1,UnitNo 2,43.712927,-79.632612
"Kebob, The",722511,905-678-2324,www.thekabob.com,3417 Derry Rd E,L4T 1A8,Bldg 1,UnitNo 7&8,43.712927,-79.632612
Yumys Chicken,722511,905-671-1113,www.yumys.ca,3417 Derry Rd E,L4T 1A8,Bldg 1,UnitNo 3,43.712927,-79.632612
China Palace,722511,905-405-1118,www.china-palace.ca,3530 Derry Rd E,L4T 4E3,,UnitNo 12,43.714465,-79.630615
Verdi Convention Centre Inc.,722320,416-675-6756,www.verdi.ca,3550 Derry Rd E,L4T 3V7,,,43.715135,-79.629718
Wendy's Canada,722512,905-671-4901,www.wendys.ca,3650 Derry Rd E,L4T 3V7,,UnitNo 100,43.715661,-79.628725
Tim Hortons,722512,905-678-1468,www.timhortons.com,3650 Derry Rd E,L4T 3V7,,UnitNo 104,43.715661,-79.628725
Tim Horton's,722512,905-564-5090,www.timhorton.ca,480 Derry Rd E,L5T 2P3,,,43.655461,-79.695595
Symphony Banquet Hall,722320,905-564-0244,www.symphonyeventcenter.ca,959 Derry Rd E,L5T 2J7,,,43.66498,-79.6858
Teamsters Local Union 647,722310,905-760-0209,www.teamsters647.ca,979 Derry Rd E,L5T 2J7,,,43.665,-79.68728
Pizza Pizza,722512,905-826-3666,www.pizzapizza.ca,2760 Derry Rd W,L5N 3N5,,UnitNo 11,43.593428,-79.765274
"Keystone Pub, The",722410,905-858-2124,www.thekeystonepub.com,2760 Derry Rd W,L5N 3N5,,UnitNo 8,43.593428,-79.765274
Pho Ao Sen Vietnamese Cuisine,722512,905-824-2888,www.phoaosenmississauga.com,3221 Derry Rd W,L5N 7L7,,UnitNo 22,43.582762,-79.777653
Osmows,722512,905-824-4555,,3221 Derry Rd W,L5N 7L7,,UnitNo 8,43.582762,-79.777653
Gino's Pizza,722512,905-785-0344,www.ginospizza.ca,3221 Derry Rd W,L5N 7L7,,UnitNo 7,43.582762,-79.777653
Burger King,722512,905-274-1607,www.burgerking.ca,1490 Dixie Rd,L5E 3E5,,,43.594126,-79.564938
Zagloba Restaurant,722512,905-279-9925,www.zaglobarestaurant.ca,2555 Dixie Rd,L4Y 4C4,,UnitNo 5,43.60822,-79.58165
Banh Mi Tan Dinh,722512,905-624-9099,,3415 Dixie Rd,L4Y 4J6,,UnitNo 19,43.61806,-79.59507
Arkady Caf  & Restaurant,722511,905-624-5726,,3631 Dixie Rd,L4Y 4H2,Bldg 3,UnitNo 21,43.621713,-79.601364
Chuck E Cheese's Inc.,722512,905-602-5502,www.chuckecheese.com,4141 Dixie Rd,L4W 1V5,,UnitNo 4,43.624945,-79.6057
Burger King,722512,905-624-1664,www.burgerking.ca,4141 Dixie Rd,L4W 1V5,,UnitNo 228,43.624945,-79.6057
Subway,722512,905-238-5373,www.subway.com,4141 Dixie Rd,L4W 1V5,,UnitNo 9,43.624945,-79.6057
Ming Wok,722512,905-629-8568,,4141 Dixie Rd,L4W 1V5,,UnitNo FC,43.624945,-79.6057
Bamiyan Kabob,722512,905-268-0848,www.bamiyankabob.ca,5120 Dixie Rd,L4W 4J7,Bldg 1,UnitNo 8,43.63672,-79.62332
Kara Mia,722511,905-290-1190,www.karamia.ca,5120 Dixie Rd,L4W 4J7,Bldg 1,UnitNo 4,43.63672,-79.62332
Gospel Caf  & Restaurant,722512,905-282-9007,www.thegospelcafe.ca,5120 Dixie Rd,L4W 4J7,Bldg 1,UnitNo 9&10,43.63672,-79.62332
Mazaya,722512,905-232-0119,,5130 Dixie Rd,L4W 4K2,Bldg 2,UnitNo 6,43.63674,-79.62335
Pizzaiolo,722512,905-282-1000,,5130 Dixie Rd,L4W 4K2,Bldg 2,UnitNo 4,43.63674,-79.62335
Shawarma Shisha-licious,722512,905-232-0105,,5130 Dixie Rd,L4W 4K2,Bldg 2,UnitNo 1&2,43.63674,-79.62335
17 Steakhouse and Bar,722511,905-614-1701,www.17steakhouse.com,5165 Dixie Rd,L4W 4G1,,UnitNo 4,43.639073,-79.625199
Royal Jasmine,722511,905-602-1688,,5165 Dixie Rd,L4W 4G1,,UnitNo 3,43.639073,-79.625199
Swiss Chalet,722511,905-238-0798,,5165 Dixie Rd,L4W 4G1,,UnitNo 2,43.639073,-79.625199
Denny's,722512,905-282-8222,www.dennys.ca,5400 Dixie Rd,L4W 4T4,,,43.642972,-79.630849
Sandman Signature Hotel,721111,905-238-0159,www.sandman.ca,5400 Dixie Rd,L4W 4T4,,,43.642972,-79.630849
Eggsmart,722512,905-212-9920,www.eggsmartdixie.com,5170 Dixie Rd,L4W 1E3,,UnitNo 103,43.639132,-79.625567
Mucho Burrito - Admiral Enterprises Inc.,722512,905-614-1494,www.muchoburrito.com,5170 Dixie Rd,L4W 1E3,,UnitNo 104 A,43.639132,-79.625567
Best Western Plus Toronto Airport Hotel,721111,905-670-8180,www.bestwestern.com,5825 Dixie Rd,L4W 4V7,,,43.65162,-79.642394
Subway Sandwiches,722512,905-564-7827,www.subway.com,5835 Dixie Rd,L4W 4V7,,UnitNo 4,43.651882,-79.642754
Ambrosia Mediterranean & Lebanese Cuisine,722511,905-670-4744,,5835 Dixie Rd,L4W 4V7,,UnitNo 2,43.651882,-79.642754
Master Steaks Family Restaurant & Butcher Shop/Angie's Bar,722511,905-670-3313,www.mastersteaks .com,5895 Dixie Rd,L4W 1E8,,,43.653239,-79.644613
Maz Maz Shawarma,722511,905-461-9227,www.mazmaz.ca,5945 Dixie Rd,L4W 1E8,,UnitNo 2,43.654349,-79.64609
Super Mack,722512,905-670-1919,,5960 Dixie Rd,L4W 1E9,,,43.654467,-79.646512
Mr. Sub,722512,905-670-0592,www.mrsub.ca,5977 Dixie Rd,L4W 1E8,,UnitNo 2,43.654903,-79.646822
Four Points by Sheraton Toronto Mississauga,721111,905-670-0050,www.fourpoints.com/mississauga,6090 Dixie Rd,L5T 1A6,,,43.657006,-79.649936
Subway,722512,905-564-2235,www.subway.ca,6200 Dixie Rd,L5T 2E1,,UnitNo 104,43.658915,-79.65251
Scarlet House Food Group Inc.,722320,905-672-6302,www.scarletthouse.ca,7615 Kimbel Str,L5S 1A8,,UnitNo 8,43.697812,-79.666709
Capitol Banquet Centre,722320,905-670-0635,www.capitolbanquet.com,6435 Dixie Rd,L5T 1X4,,UnitNo 22 to 29,43.663701,-79.658696
"Flavours, The",722512,416-315-9000,www.theflavours.ca,6435 Dixie Rd,L5T 1X4,,UnitNo 8,43.663701,-79.658696
"Grand Taj Banquet & Convention Centre, The",722320,905-670-8313,www.thegrandtaj.com,6915 Dixie Rd,L5T 2G2,,UnitNo 18 to 22,43.674408,-79.673102
White Knight Motel,721111,905-564-8001,,6965 Dixie Rd,L5T 1A8,,,43.674405,-79.673098
